year,language,creator
1972,INTERCAL,Don Woods and James M. Lyon
1972,Prolog,Alain Colmerauer
1972,Structured Query language (SQL),IBM
1973,COMAL,"Børge Christensen, Benedict Løfstedt"
1973,ML,Robin Milner
1973,LIS,Jean Ichbiah et al. at CII Honeywell Bull
1973,Speakeasy-3,"Stanley Cohen, Steven Pieper at Argonne National Laboratory"
1974,CLU,Barbara Liskov
1974,GRASS,Thomas A. DeFanti
1974,BASIC FOUR,MAI BASIC Four Inc.
1974,PROSE modeling language,CDC 6600 Cybernet Services
1975,ABC,Leo Geurts and Lambert Meertens
1975,Irvine Dataflow (concept),"Arvind?, University of California, Irvine"
1975,PROSE modeling language Time-Sharing Version,CDC 6400 Cybernet KRONOS Services
1975,Scheme,"Gerald Jay Sussman, Guy L. Steele, Jr."
1975,Altair BASIC,"Bill Gates, Paul Allen"
1975,CS-4,"James S. Miller, Benjamin M. Brosgol et al. at Intermetrics"
1975,Modula,Niklaus Wirth
1976,Plus,"Allan Ballard, Paul Whaley at the University of British Columbia"
1976,Smalltalk-76,Xerox PARC
1976,Mesa,Xerox PARC
1976,SAM76,Claude A.R. Kagan
1976,Ratfor,Brian Kernighan
1976,S,John Chambers at Bell Labs
1976,SAS,SAS Institute
1976,Integer BASIC,Steve Wozniak
1977,FP,John Backus
1977,Bourne Shell (sh),Stephen R. Bourne
1977,Commodore BASIC,Jack Tramiel
1977,IDL,David Stern of Research Systems Inc
1977,Standard MUMPS,
1977,Icon (concept),Ralph Griswold
1977,Red,Benjamin M. Brosgol et al. at Intermetrics for US Dept of Defense
1977,Blue,John B. Goodenough et al. at SofTech for US Dept of Defense
1977,Yellow,Jay Spitzen et al. at SRI International for US Dept of Defense
1977,Euclid,"Butler Lampson at Xerox Parc, Ric Holt and James Cordy at University of Toronto"
1977,Applesoft BASIC,Marc McDonald and Ric Weiland
1978,RAPT,Pat Ambler and Robin Popplestone
1978,C shell,Bill Joy
1978,RPG III,IBM
1978,HAL/S,designed by Intermetrics for NASA
1978,Applesoft II BASIC,Marc McDonald and Ric Weiland
1975,Irvine Dataflow (implementation),"Arvind and Gostelow, University of California, Irvine"
1978,MATLAB,Cleve Moler at the University of New Mexico
1978,SMALL,Nevil Brownlee at the University of Auckland
1978,VisiCalc,"Dan Bricklin, Bob Frankston marketed by VisiCorp"
1979,Modula-2,Niklaus Wirth
1979,REXX,Mike Cowlishaw at IBM
1979,AWK,"Alfred Aho, Peter J. Weinberger, Brian Kernighan"
1979,Icon (implementation),Ralph Griswold
1979,Vulcan dBase-II,Wayne Ratliff
1980,Ada 80 (MIL-STD-1815),Jean Ichbiah at CII Honeywell Bull
1980,C with classes,Bjarne Stroustrup[7]
1980,Applesoft III,Apple Computer
1980,Apple III Microsoft BASIC,Microsoft
1980,CBASIC,Gordon Eubanks
1981,BBC BASIC,"Acorn Computers, Sophie Wilson"
1981,IBM BASICA,Microsoft
1982,Speakeasy-IV,"Stanley Cohen, et al. at Speakeasy Computing Corporation"
1982,Draco,Chris Gray
1982,PostScript,Warnock
1982,Turing,"Ric Holt and James Cordy, at University of Toronto"
1983,GW-BASIC,Microsoft
1983,Turbo Pascal,Hejlsberg at Borland
1983,Ada 83 (ANSI/MIL-STD-1815A),Jean Ichbiah at Alsys
1983,Objective-C,Brad Cox
1983,C++,Bjarne Stroustrup
1983,True BASIC,"John George Kemeny, Thomas Eugene Kurtz at Dartmouth College"
1983,occam,David May
1983,ABAP,SAP AG
1983,Korn Shell (ksh),David Korn
1983,Clascal,Apple Computer Inc.
1984,CLIPPER,Nantucket
1984,Common Lisp,"Guy L. Steele, Jr. and many others"
1984,GOM – Good Old Mad,"Don Boettner, University of Michigan"
1984,RPL,Hewlett-Packard
1984,Standard ML,
1984,Redcode,Alexander Dewdney and D.G. Jones
1984,OPL,PSION
1985,PARADOX,Borland
1985,QuickBASIC,Microsoft
1986,Clarion,Bruce Barrington
1986,CorVision,Cortex
1986,Eiffel,Bertrand Meyer
1986,GFA BASIC,Frank Ostrowski
1986,Informix-4GL,Informix
1986,LabVIEW,National Instruments
1986,Miranda,David Turner at University of Kent
1986,Object Pascal,Apple Computer Inc.
1986,PROMAL,
1987,Ada ISO 8652:1987,ANSI/MIL-STD-1815A unchanged
1987,Self (concept),Sun Microsystems Inc.
1987,occam 2,David May and INMOS
1987,HyperTalk,Apple Computer Inc.
1987,Perl,Larry Wall
1987,Oberon,Niklaus Wirth
1987,Erlang,Joe Armstrong and others in Ericsson
1987,Mathematica (Wolfram Language),Wolfram Research
1987,Turbo Basic,Robert 'Bob' Zale
1987,Clean,Software Technology Research Group of Radboud University Nijmegen
1988,RPG/400,IBM
1988,Octave,
