language,location,latitude,longitude,Degree of endangerment
'Ongota,Ethiopia,8.6267033,39.6375542,Critically endangered
A'ingae / Cofan (Colombia),Colombia,3.997607,-73.2779694,Severely endangered
A'ingae / Cofan (Ecuador),Ecuador,-1.4215291,-78.8710403,Definitely endangered
A'tong,India,23.4060116,79.4580917,Severely endangered
Abaga,Papua New Guinea,-6.8891602,146.214447,Critically endangered
Abai Sungai,Malaysia,2.549001,102.962616,Definitely endangered
Abaza,"Russian Federation, Turkey",63.1251869,103.7539825,Definitely endangered
Abkhaz,"Georgia, Russian Federation, Turkey",63.1251869,103.7539825,Vulnerable
Acatepec Mazatec,Mexico,23.9090939,-102.6334,Vulnerable
Achagua,Colombia,3.997607,-73.2779694,Severely endangered
Ach̩,Paraguay,-23.2402897,-58.3951721,Definitely endangered
Acheron,Sudan,16.0857849,30.0873909,Severely endangered
Achi',Guatemala,15.6705656,-90.3486557,Vulnerable
Achuar,"Ecuador, Peru",-9.94755,-76.24092,Definitely endangered
Achumawi,United States of America,39.4432564,-98.9573364,Critically endangered
Acoma-Laguna,United States of America,39.4432564,-98.9573364,Definitely endangered
Adabe,Timor-Leste,-8.8047867,126.0790253,Vulnerable
Adi,"China, India",31.8989391,75.2683029,Vulnerable
Adnyamathanha,Australia,-25.5852413,134.5041199,Definitely endangered
Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",41.6004562,21.7008953,Vulnerable
Afitti,Sudan,16.0857849,30.0873909,Severely endangered
Agul,Russian Federation,63.1251869,103.7539825,Definitely endangered
Aheu,Lao People's Democratic Republic,18.6507492,104.1529388,Definitely endangered
Ahtna,United States of America,39.4432564,-98.9573364,Critically endangered
Aikana,Brazil,-10.8104525,-52.9731178,Definitely endangered
Aimol,India,23.4060116,79.4580917,Critically endangered
Ainbai,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Ainu (Hokkaido),Japan,36.2816467,139.0772705,Critically endangered
Aiton,India,23.4060116,79.4580917,Severely endangered
Aivilingmiutut,Canada,62.8329086,-95.9133224,Vulnerable
Aja,Sudan,16.0857849,30.0873909,Critically endangered
Ajuru,Brazil,-10.8104525,-52.9731178,Severely endangered
Ak,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Aka,"India, Sudan",31.0845604,75.0204086,Definitely endangered
Aka,India,23.4060116,79.4580917,Critically endangered
Akatek (Guatemala),Guatemala,15.6705656,-90.3486557,Vulnerable
Akatek (Mexico),Mexico,23.9090939,-102.6334,Vulnerable
Akawaio (Brazil),Brazil,-10.8104525,-52.9731178,Vulnerable
