language,location,latitude,longitude,Degree of endangerment
Arabela,Peru,-9.212533,-74.4221191,Severely endangered
Aragonese,Spain,40.3960266,-3.550693,Definitely endangered
Araki,Vanuatu,-16.3766842,167.5625,Critically endangered
Araona,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Severely endangered
Arapaho (Wyoming),United States of America,39.4432564,-98.9573364,Severely endangered
Arara do ParÃ¡,Brazil,-10.8104525,-52.9731178,Vulnerable
ArÃ¡ra ShawÃ£dÃ¡wa,Brazil,-10.8104525,-52.9731178,Critically endangered
ArawetÃ©,Brazil,-10.8104525,-52.9731178,Vulnerable
Arawun,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Arbanasi,Croatia,45.4443054,15.7345037,Severely endangered
ArbÃ«resh,Italy,42.7669792,12.4938231,Definitely endangered
Arbore,Ethiopia,8.6267033,39.6375542,Definitely endangered
Archi,Russian Federation,63.1251869,103.7539825,Definitely endangered
Arem,"Lao People's Democratic Republic, Viet Nam",18.6507492,104.1529388,Severely endangered
Argobba,Ethiopia,8.6267033,39.6375542,Critically endangered
Arguni,Indonesia,-1.248089,115.4189987,Vulnerable
Arha,New Caledonia (France),-20.0509777,165.0738678,Critically endangered
Arho,New Caledonia (France),-20.0509777,165.0738678,Critically endangered
Ari,Papua New Guinea,-6.8891602,146.214447,Severely endangered
Arikapu,Brazil,-10.8104525,-52.9731178,Critically endangered
Arikara,United States of America,39.4432564,-98.9573364,Critically endangered
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",41.6004562,21.7008953,Definitely endangered
Arrernte,Australia,-25.5852413,134.5041199,Vulnerable
AruÃ¡,Brazil,-10.8104525,-52.9731178,Severely endangered
Aruaco,Colombia,3.997607,-73.2779694,Vulnerable
Arvanitika,Greece,39.6843719,21.8974094,Severely endangered
As,Indonesia,-1.248089,115.4189987,Vulnerable
Ashaninka (Brazil),Brazil,-10.8104525,-52.9731178,Vulnerable
Ashaninka (Peru),Peru,-9.212533,-74.4221191,Vulnerable
Ashkun,Afghanistan,33.8332481,66.0252838,Definitely endangered
Ashtiani,Iran (Islamic Republic of),32.5007782,54.2942009,Definitely endangered
Assiniboine (Canada),Canada,62.8329086,-95.9133224,Critically endangered
Assiniboine (United States of America),United States of America,39.4432564,-98.9573364,Critically endangered
Asturian-Leonese,"Spain, Portugal",28.5582008,-16.2199593,Definitely endangered
Asumboa,Solomon Islands,-9.5481129,160.0193024,Severely endangered
Asur,India,23.4060116,79.4580917,Definitely endangered
Asurini do Xingu,Brazil,-10.8104525,-52.9731178,Vulnerable
Atemble,Papua New Guinea,-6.8891602,146.214447,Definitely endangered
